,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,31.7,25.7,7,3.2,10.6,0.189,4.9,4.7
2,2,MEM,Ja Morant,Murray State,3,180,5795,3786,803,1285,0.475,0.326,0.753,32.2,21,4.5,7.1,13.2,0.11,1.8,5.5
3,3,NYK,RJ Barrett,Duke,3,179,5918,3030,985,500,0.422,0.365,0.686,33.1,16.9,5.5,2.8,5.3,0.043,-2.1,-0.1
4,4,LAL,De'Andre Hunter,Virginia,3,120,3693,1551,509,199,0.431,0.354,0.777,30.8,12.9,4.2,1.7,2.2,0.029,-3.5,-1.4
5,5,CLE,Darius Garland,Vanderbilt,3,161,5273,2655,399,936,0.446,0.377,0.872,32.8,16.5,2.5,5.8,4.1,0.037,-1.9,0.2
6,6,PHO,Jarrett Culver,Texas Tech,3,124,2253,862,355,160,0.407,0.29,0.505,18.2,7,2.9,1.3,0.1,0.003,-4.2,-1.3
7,7,CHI,Coby White,UNC,3,177,5043,2494,644,631,0.416,0.368,0.848,28.5,14.1,3.6,3.6,5.8,0.055,-2.3,-0.3
8,8,ATL,Jaxson Hayes,Texas,3,174,2920,1361,723,119,0.65,0.333,0.719,16.8,7.8,4.2,0.7,11,0.18,0.3,1.7
9,9,WAS,Rui Hachimura,Gonzaga,3,126,3634,1627,668,190,0.471,0.348,0.795,28.8,12.9,5.3,1.5,4.5,0.059,-3,-0.9
10,10,ATL,Cam Reddish,Duke,3,130,3258,1374,417,169,0.385,0.325,0.84,25.1,10.6,3.2,1.3,0.9,0.013,-3.2,-1
11,11,MIN,Cameron Johnson,UNC,3,176,4242,1809,630,244,0.443,0.393,0.848,24.1,10.3,3.6,1.4,10.8,0.122,1.2,3.4
12,12,CHO,P.J. Washington,Kentucky,3,169,4924,2003,994,377,0.449,0.379,0.702,29.1,11.9,5.9,2.2,7.1,0.069,-0.9,1.3
13,13,MIA,Tyler Herro,Kentucky,3,160,4812,2607,739,509,0.435,0.377,0.847,30.1,16.3,4.6,3.2,5.8,0.058,-1,1.3
14,14,BOS,Romeo Langford,Indiana,3,94,1381,342,180,45,0.396,0.305,0.662,14.7,3.6,1.9,0.5,1.5,0.052,-3,-0.4
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.012,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,2,97,2378,788,425,187,0.399,0.328,0.802,24.5,8.1,4.4,1.9,3.1,0.062,-0.4,0.9
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,3,145,2920,1414,393,330,0.388,0.33,0.715,20.1,9.8,2.7,2.3,0.4,0.006,-2.8,-0.6
18,18,IND,Goga Bitadze,,3,138,1486,588,367,91,0.449,0.222,0.684,10.8,4.3,2.7,0.7,2.7,0.088,-2.2,-0.1
19,19,SAS,Luka Šamanić,,2,36,356,138,78,21,0.43,0.294,0.576,9.9,3.8,2.2,0.6,0.1,0.015,-4.8,-0.3
20,20,BOS,Matisse Thybulle,Washington,3,176,3795,831,342,198,0.446,0.32,0.607,21.6,4.7,1.9,1.1,7.7,0.097,1.1,3
21,21,OKC,Brandon Clarke,Gonzaga,3,166,3653,1815,937,245,0.587,0.294,0.702,22,10.9,5.6,1.5,13.9,0.183,2.8,4.4
22,22,BOS,Grant Williams,Tennessee,3,192,3611,997,553,197,0.454,0.381,0.756,18.8,5.2,2.9,1,7,0.093,-1.8,0.2
23,23,UTA,Darius Bazley,,3,173,4414,1654,1017,217,0.397,0.304,0.698,25.5,9.6,5.9,1.3,1.5,0.017,-2.7,-0.8
24,24,PHI,Ty Jerome,Virginia,3,112,1917,795,215,273,0.398,0.344,0.784,17.1,7.1,1.9,2.4,2,0.051,-1.9,0.1
25,25,POR,Nassir Little,UNC,3,138,2301,802,472,99,0.455,0.317,0.727,16.7,5.8,3.4,0.7,3.7,0.076,-2.2,-0.1
26,26,CLE,Dylan Windler,Belmont,2,69,861,255,171,58,0.433,0.356,0.778,12.5,3.7,2.5,0.8,1.2,0.069,-1.4,0.1
27,27,BRK,Mfiondu Kabengele,Florida State,2,51,344,137,71,19,0.388,0.314,0.84,6.7,2.7,1.4,0.4,0.4,0.054,-3.1,-0.1
28,28,GSW,Jordan Poole,Michigan,3,165,3888,2036,388,429,0.405,0.324,0.877,23.6,12.3,2.4,2.6,4.4,0.054,-2.5,-0.5
29,29,SAS,Keldon Johnson,Kentucky,3,144,4081,1942,813,240,0.478,0.392,0.749,28.3,13.5,5.6,1.7,7.5,0.089,-1.3,0.8
30,30,MIL,Kevin Porter Jr.,USC,3,117,3231,1485,423,527,0.419,0.345,0.673,27.6,12.7,3.6,4.5,0,0,-3.4,-1.2
31,31,BRK,Nic Claxton,Georgia,3,76,1364,526,363,66,0.627,0.167,0.521,17.9,6.9,4.8,0.9,4.4,0.153,0.1,0.7
32,32,PHO,KZ Okpala,Stanford,3,63,717,176,114,34,0.406,0.273,0.607,11.4,2.8,1.8,0.5,0.7,0.048,-5.2,-0.6
33,33,PHI,Carsen Edwards,Purdue,2,68,627,244,73,38,0.372,0.302,0.75,9.2,3.6,1.1,0.6,0.4,0.03,-4.5,-0.4
34,34,PHI,Bruno Fernando,Maryland,3,111,1010,320,297,63,0.498,0.146,0.617,9.1,2.9,2.7,0.6,0.8,0.04,-4.7,-0.7
35,35,ATL,Didi Louzada,,2,5,63,8,5,4,0.188,0.182,,12.6,1.6,1,0.8,-0.2,-0.115,-9.9,-0.1
36,36,CHO,Cody Martin,Nevada,3,153,3182,868,535,314,0.448,0.33,0.646,20.8,5.7,3.5,2.1,4.9,0.073,-1.4,0.5
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5,7,1.9,1.5,0.3,-0.1,-0.033,-6,-0.2
38,38,CHI,Daniel Gafford,Arkansas,3,149,2474,1075,647,102,0.689,,0.655,16.6,7.2,4.3,0.7,9.8,0.191,1.2,2
39,39,NOP,Alen Smailagić,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2
