PLAYER,POS,LANE_AGILITY_TIME,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MAX_BENCH_PRESS,YEAR
Kenny Adeleke,PF-C,11.57,-,3.47,28.50,30.50,26.00,2006
Maurice Ager,SG-PG,11.73,-,3.22,29.50,35.00,11.00,2006
LaMarcus Aldridge,PF-C,12.02,-,3.43,26.50,34.00,8.00,2006
Morris Almond,SG-SF,11.45,-,3.19,31.00,35.50,13.00,2006
Lou Amundson,PF,10.58,-,3.20,32.00,35.50,14.00,2006
Rashad Anderson,SG,11.77,-,3.48,27.50,32.50,13.00,2006
Hilton Armstrong,C-PF,12.28,-,3.53,28.50,31.50,13.00,2006
James Augustine,PF,10.54,-,3.25,30.00,32.50,13.00,2006
Renaldo Balkman,SF-PF,11.58,-,3.22,30.50,35.00,9.00,2006
J.P. Batista,PF,11.62,-,3.38,26.00,30.50,26.00,2006
Will Blalock,PG,11.08,-,3.18,35.00,40.00,8.00,2006
Brandon Bowman,SF,11.41,-,3.31,31.00,34.00,24.00,2006
Ronnie Brewer,SG-PG,11.32,-,3.14,35.00,41.00,19.00,2006
Denham Brown,SG-SF,11.42,-,3.25,28.00,34.50,12.00,2006
Brad Buckman,PF,12.26,-,3.54,25.50,30.50,10.00,2006
Nik Caner-Medley,SF,10.57,-,3.21,28.50,35.50,17.00,2006
Rodney Carney,SG-SF,10.57,-,3.06,32.00,38.50,10.00,2006
Keydren Clark,PG,11.03,-,3.11,31.00,34.00,13.00,2006
Mardy Collins,PG-SG,12.00,-,3.27,31.50,37.50,9.00,2006
Taquan Dean,SG-PG,10.53,-,3.20,30.50,34.50,16.00,2006
Terence Dials,PF-C,11.54,-,3.50,26.50,30.00,16.00,2006
Sean Dockery,PG-SG,10.88,-,3.34,29.00,33.00,4.00,2006
Jordan Farmar,PG,11.07,-,3.17,33.50,42.00,11.00,2006
Randy Foye,SG-PG,10.53,-,3.23,32.00,38.00,14.00,2006
Torin Francis,PF-C,11.97,-,3.51,26.50,32.00,9.00,2006
Rudy Gay,SF-PF,11.03,-,3.32,33.00,40.50,9.00,2006
Nick George,SF-SG,11.69,-,3.25,30.50,38.00,14.00,2006
Taj Gray,PF-SF,11.02,-,3.45,28.50,33.00,10.00,2006
Dan Grunfeld,SF-SG,11.30,-,3.46,28.00,33.50,16.00,2006
Matt Haryasz,PF-C,11.34,-,3.46,27.50,31.50,10.00,2006
Eric Hicks,PF,12.06,-,3.34,30.00,34.00,20.00,2006
Tedric Hill,SF-PF,12.23,-,3.24,30.00,36.50,1.00,2006
Daniel Horton,PG-SG,10.35,-,3.16,30.00,36.50,17.00,2006
Bobby Jones,SF-SG,11.23,-,3.28,28.50,34.50,15.00,2006
Solomon Jones,PF-C,11.27,-,3.30,32.00,39.00,6.00,2006
Viktor Keyru,SG-PG,11.40,-,3.24,29.00,34.50,11.00,2006
Marco Killingsworth,PF,11.42,-,3.34,28.00,32.00,13.00,2006
Tarence Kinsey,SF-SG,10.67,-,3.30,29.00,35.50,5.00,2006
Carl Krauser,PG,11.62,-,3.38,26.00,31.00,8.00,2006
Chris McCray,SG,11.46,-,3.34,30.50,39.00,1.00,2006
Gerry McNamara,PG-SG,11.28,-,3.40,27.00,32.00,3.00,2006
Pops Mensah-Bonsu,PF-C,11.47,-,3.29,31.50,36.00,19.00,2006
Paul Miller,PF-C,12.25,-,3.66,29.00,35.50,25.00,2006
Paul Millsap,PF,11.67,-,3.30,28.50,32.50,15.00,2006
Dwayne Mitchell,SG-SF,11.45,-,3.16,37.50,41.50,17.00,2006
Adam Morrison,SF,11.46,-,3.37,25.50,30.50,11.00,2006
Yemi Nicholson,PF-C,12.57,-,3.65,26.50,26.00,8.00,2006
David Noel,SF-SG,10.54,-,3.07,34.50,38.50,20.00,2006
Steve Novak,SF,11.11,-,3.37,24.50,31.00,5.00,2006
Patrick O'Bryant,C,12.68,-,3.63,26.50,30.00,13.00,2006
Danilo Pinnock,PG-SG,11.91,-,3.08,29.50,35.50,7.00,2006
Chris Quinn,PG-SG,11.25,-,3.25,32.00,37.00,7.00,2006
Allan Ray,SG,11.01,-,3.20,28.50,35.50,9.00,2006
JJ Redick,SG,10.94,-,3.29,27.50,33.00,6.00,2006
Antywane Robinson,SF-PF,11.73,-,3.40,29.00,32.50,12.00,2006
Brandon Roy,SG-SF,11.13,-,3.27,34.00,40.50,6.00,2006
Blake Schilb,PG-SG,11.25,-,3.43,28.50,34.50,13.00,2006
Mouhamed Sene,C,12.52,-,3.38,28.50,31.00,7.00,2006
Cedric Simmons,PF-C,11.05,-,3.31,30.50,35.00,15.00,2006
Marcus Slaughter,PF-SF,11.56,-,3.40,30.00,34.00,9.00,2006
Craig Smith,PF,11.59,-,3.40,30.00,29.50,-,2006
Steven Smith,SF-PF,12.08,-,3.40,29.50,34.50,15.00,2006
Michael Southhall,C,12.29,-,3.51,31.50,37.00,2.00,2006
Frans Steyn,C,11.67,-,3.38,28.50,29.50,-,2006
Curtis Stinson,SG,10.95,-,3.27,28.00,31.50,17.00,2006
Tyrus Thomas,PF-SF,11.36,-,3.20,34.00,39.50,8.00,2006
Joah Tucker,SF-SG,11.58,-,3.31,29.00,34.00,19.00,2006
Ian Vouyoukas,C-PF,13.70,-,3.72,23.00,28.00,8.00,2006
Darius Washington,PG,10.71,-,3.26,29.00,37.50,9.00,2006
CJ Watson,PG,11.61,-,3.15,31.50,34.00,12.00,2006
Marcus Williams,PG,11.30,-,3.40,24.50,28.00,4.00,2006
Shawne Williams,SF-PF,10.69,-,3.30,32.00,31.00,-,2006
Justin Williams,C-PF,11.90,-,3.31,26.50,31.50,7.00,2006
Shelden Williams,PF-C,11.53,-,3.59,29.00,33.50,25.00,2006
Eric Williams,C-PF,11.71,-,3.56,28.50,29.00,17.00,2006
Curtis Withers,PF-SF,11.54,-,3.10,35.00,36.50,14.00,2006
