PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Max Abmas,PG,0.06,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75'',2021
Ochai Agbaji,SG,0.04,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0,2021
Marcus Bagley,SF,0.08,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0'',2021
Scottie Barnes,SF,0.05,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75'',2021
Charles Bassey,C,0.06,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0'',2021
Brandon Boston Jr.,SF,0.06,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75'',2021
James Bouknight,SG,0.06,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25'',2021
Greg Brown III,PF,0.06,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25'',2021
Jared Butler,PG,0.05,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0'',2021
Julian Champagnie,SF,0.08,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0'',2021
Justin Champagnie,PF,0.06,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5'',2021
Josh Christopher,SG,0.06,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25'',2021
Sharife Cooper,PG,-%,-,-,,,,-,,2021
Cade Cunningham,PG,-%,-,-,,,,-,,2021
Ayo Dosunmu,SG,0.05,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25'',2021
David Duke Jr.,SG,0.06,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75'',2021
Kessler Edwards,PF,0.04,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25'',2021
Luka Garza,C,0.12,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5'',2021
RaiQuan Gray,PF,0.17,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75'',2021
Jalen Green,SG,-%,-,-,,,,-,,2021
Quentin Grimes,SG,0.07,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0'',2021
Sam Hauser,SF,0.08,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25'',2021
Aaron Henry,SF,0.06,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75'',2021
Ariel Hukporti,C,0.08,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5'',2021
Matt Hurt,PF,0.15,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5'',2021
Nah'Shon Hyland,SG,0.06,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25'',2021
Isaiah Jackson,C,-%,-,-,,,,-,,2021
David Johnson,SG,0.08,8.25,8.5,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5'',2021
Jalen Johnson,PF,0.05,9.75,10.5,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25'',2021
Keon Johnson,SG,0.04,8.5,9,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25'',2021
Carlik Jones,PG,0.05,8.25,9,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0'',2021
Kai Jones,PF,0.05,9,9.5,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75'',2021
Herbert Jones,SF,0.06,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',2021
Johnny Juzang,SG,0.08,8.5,9.5,6'5.5'',6'7.0'',8'4.5'',209,6'10.5'',2021
Corey Kispert,SF,0.07,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0'',2021
Jonathan Kuminga,SF,-%,-,-,,,,-,,2021
AJ Lawson,SG-SF,0.04,8.5,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75'',2021
Scottie Lewis,SF,0.05,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0'',2021
Isaiah Livers,SF,0.09,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25'',2021
Makur Maker,C,0.15,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75'',2021
Sandro Mamukelashvili,C,0.08,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25'',2021
Tre Mann,PG,0.04,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',2021
Matthew Mayer,PF,-%,-,-,,,,-,,2021
Miles McBride,PG,0.06,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',2021
Davion Mitchell,PG,0.06,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',2021
Evan Mobley,PF,-%,-,-,,,,-,,2021
Isaiah Mobley,PF,0.13,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0'',2021
Moses Moody,SG,0.07,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',2021
Trey Murphy III,SF,0.08,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0'',2021
