Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
0,Cade Cunningham,15.9,0.4,0.32,0.839,31.9,16.2,5.7,5.1,-0.6,-0.018,-2,0,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
1,Franz Wagner,15.8,0.468,0.366,0.852,31.9,15.7,4.6,2.9,3.3,0.08,-0.8,0.6,2021,,,,,,,,,,,,,,,,,,,,
2,Jalen Green,11.1,0.396,0.312,0.811,31,15,3.1,2.3,-0.6,-0.021,-4.3,-0.8,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
3,Scottie Barnes,18.5,0.49,0.314,0.741,35.3,14.9,7.6,3.2,4.5,0.112,0.4,1.1,2021,10.88,2.99,3.15,36,39.5,-,0.05,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75'',10.88,2.99,3.15,36,39.5,-
4,Evan Mobley,18.5,0.499,0.257,0.68,34.1,14.7,8.1,2.6,4.3,0.112,0.6,1.2,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
5,Chris Duarte,12.2,0.434,0.365,0.796,28.3,13.3,4.1,2.2,1.3,0.041,-2,0,2021,,,,,,,,,,,,,,,,,,,,
6,Jalen Suggs,10.8,0.369,0.227,0.758,28,12.5,3.7,4.4,-1.3,-0.054,-5.4,-1,2021,,,,,,,,,,,,,,,,,,,,
7,Josh Giddey,17.2,0.419,0.263,0.709,31.5,12.5,7.8,6.4,0.9,0.024,-0.9,0.5,2021,,,,,,,,,,,,,,,,,,,,
8,Davion Mitchell,8.9,0.403,0.311,0.587,25.6,10.1,2.2,3.3,-0.1,-0.002,-4,-0.7,2021,-,-,-,-,-,-,0.06,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',-,-,-,-,-,-
9,Cam Thomas,8.4,0.436,0.272,0.831,19.7,9.8,2.6,1.4,0.7,0.034,-3.2,-0.3,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
10,Herbert Jones,12.6,0.487,0.351,0.863,30,9.5,4,2.1,3.7,0.1,-0.4,0.7,2021,11.02,3.17,3.25,28.5,36.5,-,0.06,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',11.02,3.17,3.25,28.5,36.5,-
11,Tre Mann,7.3,0.39,0.354,0.742,21,9.1,2.4,1.3,0.4,0.018,-4.2,-0.6,2021,-,-,-,-,-,-,0.04,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',-,-,-,-,-,-
12,Alperen Sengun,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bones Hyland,8.1,0.374,0.355,0.877,17.7,8.8,2.7,2.1,0.7,0.04,-2.6,-0.1,2021,,,,,,,,,,,,,,,,,,,,
14,Duane Washington Jr.,6,,,,,,,,,,,,,11.5,3.06,3.17,29.5,35.5,-,0.05,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75'',11.5,3.06,3.17,29.5,35.5,-
15,Ayo Dosunmu,10.9,0.527,0.41,0.677,26.3,8.4,2.8,3.1,2.7,0.085,-1.5,0.2,2021,11.51,3.27,3.23,27,33.5,-,0.05,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25'',11.51,3.27,3.23,27,33.5,-
16,Jonathan Kuminga,7.9,0.503,0.327,0.683,15,8.3,2.9,0.7,1.8,0.11,-2.4,-0.1,2021,-,-,-,-,-,-,-%,-,-,,,,-,,-,-,-,-,-,-
17,Ziaire Williams,6.5,0.444,0.288,0.793,21.8,7.4,1.9,0.9,1.2,0.061,-4,-0.5,2021,10.69,3.04,3.12,34,39.5,-,0.04,9,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25'',10.69,3.04,3.12,34,39.5,-
