Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES_IN_CM,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
24,Quentin Grimes,6.3,0.421,0.398,0.647,17.4,6.3,1.9,1,1.3,0.089,-0.1,0.3,2021,10.83,3.28,3.2,27.5,36,6,0.07,8.5,10,190.16,193.34,252.7,205,200.32,10.83,3.28,3.2,27.5,36,6
35,Omer Yurtseven,10,0.53,0.214,0.753,27.3,15.5,9.8,1.2,,,,,2020,12.85,3.3,3.45,26,31.5,6,0.08,9,10.5,205.4,209.85,271.27,248.4,212.54,12.85,3.3,3.45,26,31.5,6
48,Charles Bassey,5.7,0.638,0,0.75,7.3,3,2.7,0.3,0.8,0.227,1.9,0.2,2021,12.65,3.27,3.53,29,33,7,0.06,9,9.5,203.5,206.04,269.21,230.2,217.62,12.65,3.27,3.53,29,33,7
100,Dylan Windler,7.1,0.433,0.356,0.778,12.5,3.7,2.5,0.8,1.2,0.069,-1.4,0.1,2019,10.7,2.94,3.3,29,37.5,8,0.05,8.25,9.5,195.88,199.05,261.59,195.8,205.4,10.7,2.94,3.3,29,37.5,8
114,Reggie Perry,4.3,0.42,0.217,0.8,9,3.1,2.8,0.6,0.2,0.046,-6.7,-0.3,2020,12.46,3.4,3.3,28.5,31.5,15,0.08,9.25,11,200.96,203.5,266.67,249.6,210.635,12.46,3.4,3.3,28.5,31.5,15
135,Eric Paschall,13.7,0.495,0.326,0.755,20.3,10.2,3.4,1.4,4.5,0.074,-2.3,-0.2,2019,11.63,3.26,3.3,33,38,18,0.06,9,9.5,195.24,198.42,259.05,254.4,209.845,11.63,3.26,3.3,33,38,18
142,Brandon Clarke,16.2,0.587,0.294,0.702,22,10.9,5.6,1.5,13.9,0.183,2.8,4.4,2019,10.61,3.05,3.15,34,40.5,10,0.05,8.25,9.5,198.42,200.96,255.24,207.2,200.955,10.61,3.05,3.15,34,40.5,10
144,Kevin Porter Jr.,9.5,0.419,0.345,0.673,27.6,12.7,3.6,4.5,0,0,-3.4,-1.2,2019,10.82,3.03,3.14,27,34,2,0.05,8.75,8.75,190.16,193.97,257.78,212.6,202.86,10.82,3.03,3.14,27,34,2
147,Naz Reid,9.6,0.468,0.333,0.727,27.2,13.6,7.2,0.9,,,,,2019,12.03,3.76,3.42,26,32.5,3,0.14,9.5,9.25,202.23,204.13,272.54,255.8,218.255,12.03,3.76,3.42,26,32.5,3
151,Terence Davis,8.7,0.444,0.371,0.772,31,15.2,5.8,3.5,,,,,2019,10.69,2.96,3.28,29.5,34,13,0.04,9.25,10.75,187.62,191.43,252.7,192.4,202.225,10.69,2.96,3.28,29.5,34,13
152,Ky Bowman,8.4,0.404,0.374,0.761,39.4,19,7.5,4,,,,,2019,11.11,3.11,3.26,27.5,33,4,0.05,8.25,9,182.54,185.72,245.08,181.2,197.78,11.11,3.11,3.26,27.5,33,4
153,Jaxson Hayes,10.4,0.65,0.333,0.719,16.8,7.8,4.2,0.7,11,0.18,0.3,1.7,2019,11.74,3.23,3.37,27,34.5,5,0.05,9.25,10.5,206.04,209.21,276.35,218.6,218.89,11.74,3.23,3.37,27,34.5,5
