#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
1,Cade Cunningham,50,31.9,16.3,6.2,15.5,40,1.9,6,32.2,1.9,2.3,84.2,1,4.8,5.8,5.1,1.2,0.6,3.5,15.9,2021
2,Franz Wagner,64,31.9,15.7,6,12.8,46.6,1.3,3.6,36.5,2.4,2.9,85.2,1.1,3.6,4.7,3,0.9,0.5,1.6,15.8,2021
3,Jalen Green,48,31,15.1,5.2,13,39.8,2,6.4,31.3,2.7,3.4,80.4,0.5,2.7,3.2,2.4,0.7,0.2,2.1,11.1,2021
4,Scottie Barnes,55,35.3,14.9,5.9,12.2,48.5,0.8,2.6,31,2.2,3,74.2,2.6,5,7.5,3.3,1.1,0.8,2,18.5,2021
5,Evan Mobley,55,34,14.5,5.9,11.8,49.7,0.3,1.4,25,2.5,3.6,68.2,1.9,6.1,8,2.5,0.8,1.7,2,18.5,2021
6,Chris Duarte,52,28.3,13.3,4.9,11.4,43.4,1.7,4.7,36.5,1.7,2.1,79.6,0.7,3.4,4.1,2.2,1.1,0.2,1.7,12.2,2021
7,Jalen Suggs,43,28,12.5,4.4,12,36.6,0.9,4.1,22.6,2.8,3.7,76.7,0.6,3.1,3.7,4.5,1.3,0.4,3.1,10.8,2021
8,Josh Giddey,54,31.5,12.5,5.2,12.4,41.9,1,3.9,26.3,1,1.5,70.9,1.8,6,7.8,6.4,0.9,0.4,3.2,17.2,2021
9,Davion Mitchell,58,25.6,10.1,4.1,10.3,40.3,1.3,4.2,31.1,0.5,0.8,58.7,0.5,1.7,2.2,3.3,0.7,0.3,1.2,8.9,2021
10,Cam Thomas,53,19.7,9.8,3.8,8.7,43.6,0.8,3.1,27.2,1.4,1.7,83.1,0.2,2.4,2.6,1.4,0.5,0.2,0.9,8.4,2021
